School Name,State,School Sector,School Type,ABS Remoteness Area Name,Latitude,Longitude
St Marys Senior High School,NSW,Government,Secondary,Major Cities,-33.763119,150.770024
Brisbane Water Secondary College Woy Woy Campus,NSW,Government,Secondary,Major Cities,-33.492687,151.323582
Sydney Secondary College Blackwattle Bay Campus,NSW,Government,Secondary,Major Cities,-33.875142,151.188357
Launceston College,TAS,Government,Secondary,Inner Regional,-41.43992227,147.1328946
Elizabeth College,TAS,Government,Secondary,Inner Regional,-42.87760164,147.3177552
Rosny College,TAS,Government,Secondary,Inner Regional,-42.86932994,147.3653363
Sevenoaks Senior College,WA,Government,Secondary,Major Cities,-32.01209,115.94261
North Lake Senior Campus,WA,Government,Secondary,Major Cities,-32.07413,115.81394
Cyril Jackson Senior Campus,WA,Government,Secondary,Major Cities,-31.91352,115.9427
Canning College,WA,Government,Secondary,Major Cities,-32.01042787,115.8970779
Tallowood Steiner School,NSW,Independent,Primary,Inner Regional,-30.623479,152.849846
Port Lincoln Junior Primary School,SA,Government,Primary,Remote,-34.724303,135.857806
Australia Street Infants School,NSW,Government,Primary,Major Cities,-33.895783,151.177607
Russell Lea Public School,NSW,Government,Primary,Major Cities,-33.861418,151.142572
Taverners Hill Infants School,NSW,Government,Primary,Major Cities,-33.888955,151.157199
Northern Beaches Secondary College Freshwater Senior Campus,NSW,Government,Secondary,Major Cities,-33.768258,151.279779
Yeo Park Infants School,NSW,Government,Primary,Major Cities,-33.90251807,151.1296902
Casuarina Senior College,NT,Government,Secondary,Outer Regional,-12.3836,130.879
